dst_port,flow_duration,flow_byts_s,flow_pkts_s,bwd_pkts_s,totlen_fwd_pkts,fwd_pkt_len_max,fwd_pkt_len_mean,bwd_pkt_len_max,bwd_pkt_len_min,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,bwd_header_len,flow_iat_mean,flow_iat_max,flow_iat_std,fwd_iat_mean,fwd_iat_std,psh_flag_cnt,ack_flag_cnt,init_fwd_win_byts,init_bwd_win_byts
80,0.001684,141330.16627078384,2375.2969121140145,593.8242280285036,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005613333333333333,0.001619,0.0007483538972675667,0.000842,0.000842,0,1,512,64240
80,0.001409,168914.12349183817,2838.8928317955997,709.7232079488999,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004696666666666667,0.001373,0.0006389221827073745,0.0007045,0.0007045,0,1,512,64240
80,0.001285,185214.0077821012,3112.8404669260703,778.2101167315176,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004283333333333333,0.001256,0.0005853684499716586,0.0006425,0.0006425,0,1,512,64240
80,0.001414,168316.83168316833,2828.854314002829,707.2135785007073,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00047133333333333337,0.001381,0.0006433725376655599,0.000707,0.000707,0,1,512,64240
80,0.001498,158878.5046728972,2670.22696929239,667.5567423230975,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004993333333333333,0.001467,0.0006843606911238807,0.000749,0.000749,0,1,512,64240
80,0.002626,90632.14013709064,1523.2292460015233,380.8073115003808,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0008753333333333333,0.002594,0.0012153510695359683,0.001313,0.001313,0,1,512,64240
80,0.001255,189641.4342629482,3187.2509960159364,796.8127490039841,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00041833333333333333,0.001211,0.0005607877396028634,0.0006275,0.0006275,0,1,512,64240
80,0.001212,196369.63696369636,3300.3300330033003,825.0825082508251,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000404,0.001171,0.0005426091288088199,0.000606,0.000606,0,1,512,64240
80,0.002452,97063.62153344208,1631.321370309951,407.8303425774877,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0008173333333333334,0.002396,0.0011165199903668938,0.001226,0.001226,0,1,512,64240
80,0.00387,61498.70801033591,1033.5917312661497,258.39793281653743,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0012900000000000001,0.003827,0.0017940157933158413,0.001935,0.001935,0,1,512,64240
80,0.004459,53375.19623233908,897.0621215519174,224.26553038797934,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0014863333333333334,0.004401,0.002061116579807061,0.0022295,0.0022295,0,1,512,64240
